name,category,mechanic,force,level,equipment,direct_muscles,indirect_muscles
3/4 Sit-Up,strength,compound,pull,beginner,body only,abdominals,
90/90 Hamstring,stretching,,push,beginner,body only,hamstrings,calves
Ab Crunch Machine,strength,isolation,pull,intermediate,machine,abdominals,
Ab Roller,strength,compound,pull,intermediate,other,abdominals,shoulders
Adductor,stretching,isolation,static,intermediate,foam roll,adductors,
Adductor/Groin,stretching,,static,intermediate,,adductors,
Advanced Kettlebell Windmill,strength,isolation,push,intermediate,kettlebells,abdominals,glutes; hamstrings; shoulders
Air Bike,strength,compound,pull,beginner,body only,abdominals,
All Fours Quad Stretch,stretching,,static,intermediate,body only,quadriceps,quadriceps
Alternate Hammer Curl,strength,isolation,pull,beginner,dumbbell,biceps,forearms
Alternate Heel Touchers,strength,isolation,pull,beginner,body only,abdominals,
Alternate Incline Dumbbell Curl,strength,isolation,pull,beginner,dumbbell,biceps,forearms
Alternate Leg Diagonal Bound,plyometrics,compound,push,beginner,,quadriceps,abductors; adductors; calves; glutes; hamstrings
Alternating Cable Shoulder Press,strength,compound,push,beginner,cable,shoulders,triceps
Alternating Deltoid Raise,strength,isolation,push,beginner,dumbbell,shoulders,
Alternating Floor Press,strength,compound,push,beginner,kettlebells,chest,abdominals; shoulders; triceps
Alternating Hang Clean,strength,compound,pull,intermediate,kettlebells,hamstrings,biceps; calves; forearms; glutes; lower back; traps
Alternating Kettlebell Press,strength,compound,push,intermediate,kettlebells,shoulders,triceps
Alternating Kettlebell Row,strength,isolation,pull,intermediate,kettlebells,middle back,biceps; lats
Alternating Renegade Row,strength,compound,pull,expert,kettlebells,middle back,abdominals; biceps; chest; lats; triceps
Ankle Circles,stretching,isolation,pull,beginner,,calves,
Ankle On The Knee,stretching,,static,beginner,,glutes,
Anterior Tibialis-SMR,stretching,,static,intermediate,other,calves,
Anti-Gravity Press,strength,compound,push,beginner,barbell,shoulders,middle back; traps; triceps
Arm Circles,stretching,isolation,push,beginner,,shoulders,traps
Arnold Dumbbell Press,strength,compound,push,intermediate,dumbbell,shoulders,triceps
Around The Worlds,strength,compound,push,intermediate,dumbbell,chest,shoulders
Atlas Stone Trainer,strongman,compound,pull,intermediate,other,lower back,biceps; forearms; glutes; hamstrings; quadriceps
Atlas Stones,strongman,compound,pull,expert,other,lower back,abdominals; adductors; biceps; calves; forearms; glutes; hamstrings; middle back; quadriceps; traps
Axle Deadlift,strongman,compound,pull,intermediate,other,lower back,forearms; glutes; hamstrings; middle back; quadriceps; traps
Back Flyes - With Bands,strength,compound,pull,beginner,bands,shoulders,middle back; triceps
Backward Drag,strongman,compound,pull,beginner,other,quadriceps,calves; forearms; glutes; hamstrings; lower back
Backward Medicine Ball Throw,plyometrics,compound,push,beginner,medicine ball,shoulders,
Balance Board,strength,compound,,beginner,other,calves,hamstrings; quadriceps
Ball Leg Curl,strength,isolation,pull,beginner,exercise ball,hamstrings,calves; glutes
Band Assisted Pull-Up,strength,compound,,beginner,other,lats,abdominals; forearms; middle back
Band Good Morning,powerlifting,compound,pull,beginner,bands,hamstrings,glutes; lower back
Band Good Morning (Pull Through),powerlifting,compound,pull,beginner,bands,hamstrings,glutes; lower back
Band Hip Adductions,strength,isolation,pull,beginner,bands,adductors,
Band Pull Apart,strength,isolation,pull,beginner,bands,shoulders,middle back; traps
Band Skull Crusher,strength,isolation,push,beginner,bands,triceps,
Barbell Ab Rollout,strength,compound,pull,intermediate,barbell,abdominals,lower back; shoulders
Barbell Ab Rollout - On Knees,strength,compound,pull,expert,barbell,abdominals,lower back; shoulders
Barbell Bench Press - Medium Grip,strength,compound,push,beginner,barbell,chest,shoulders; triceps
Barbell Curl,strength,isolation,pull,beginner,barbell,biceps,forearms
Barbell Curls Lying Against An Incline,strength,isolation,pull,beginner,barbell,biceps,
Barbell Deadlift,strength,compound,pull,intermediate,barbell,lower back,calves; forearms; glutes; hamstrings; lats; middle back; quadriceps; traps
Barbell Full Squat,strength,compound,push,intermediate,barbell,quadriceps,calves; glutes; hamstrings; lower back
Barbell Glute Bridge,powerlifting,compound,push,intermediate,barbell,glutes,calves; hamstrings
Barbell Guillotine Bench Press,strength,compound,push,intermediate,barbell,chest,shoulders; triceps
Barbell Hack Squat,strength,compound,push,intermediate,barbell,quadriceps,calves; forearms; hamstrings
Barbell Hip Thrust,powerlifting,compound,push,intermediate,barbell,glutes,calves; hamstrings
Barbell Incline Bench Press - Medium Grip,strength,compound,push,beginner,barbell,chest,shoulders; triceps
Barbell Incline Shoulder Raise,strength,compound,push,beginner,barbell,shoulders,chest
Barbell Lunge,strength,compound,push,intermediate,barbell,quadriceps,calves; glutes; hamstrings
Barbell Rear Delt Row,strength,compound,pull,beginner,barbell,shoulders,biceps; lats; middle back
Barbell Rollout from Bench,strength,compound,pull,intermediate,barbell,abdominals,glutes; hamstrings; lats; shoulders
Barbell Seated Calf Raise,strength,isolation,push,beginner,barbell,calves,
Barbell Shoulder Press,strength,compound,push,intermediate,barbell,shoulders,chest; triceps
Barbell Shrug,strength,isolation,pull,beginner,barbell,traps,
Barbell Shrug Behind The Back,strength,isolation,pull,beginner,barbell,traps,forearms; middle back
Barbell Side Bend,strength,isolation,pull,beginner,barbell,abdominals,lower back
Barbell Side Split Squat,strength,compound,push,beginner,barbell,quadriceps,calves; hamstrings; lower back
Barbell Squat,strength,compound,push,beginner,barbell,quadriceps,calves; glutes; hamstrings; lower back
Barbell Squat To A Bench,strength,compound,push,expert,barbell,quadriceps,calves; glutes; hamstrings; lower back
Barbell Step Ups,strength,compound,push,intermediate,barbell,quadriceps,calves; glutes; hamstrings; quadriceps
Barbell Walking Lunge,strength,compound,push,beginner,barbell,quadriceps,calves; glutes; hamstrings
Battling Ropes,strength,compound,push,beginner,other,shoulders,chest; forearms
Bear Crawl Sled Drags,strongman,compound,push,beginner,other,quadriceps,calves; glutes; hamstrings
Behind Head Chest Stretch,stretching,isolation,static,expert,other,chest,shoulders
Bench Dips,strength,compound,push,beginner,body only,triceps,chest; shoulders
Bench Jump,plyometrics,compound,push,intermediate,body only,quadriceps,calves; glutes; hamstrings
Bench Press - Powerlifting,powerlifting,compound,push,intermediate,barbell,triceps,chest; forearms; lats; shoulders
Bench Press - With Bands,strength,compound,push,beginner,bands,chest,shoulders; triceps
Bench Press with Chains,powerlifting,compound,push,expert,barbell,triceps,chest; lats; shoulders
Bench Sprint,plyometrics,compound,push,beginner,other,quadriceps,calves; glutes; hamstrings
Bent Over Barbell Row,strength,compound,pull,beginner,barbell,middle back,biceps; lats; shoulders
Bent Over Dumbbell Rear Delt Raise With Head On Bench,strength,isolation,pull,beginner,dumbbell,shoulders,
Bent Over Low-Pulley Side Lateral,strength,isolation,pull,beginner,cable,shoulders,lower back; middle back; traps
Bent Over One-Arm Long Bar Row,strength,compound,pull,beginner,barbell,middle back,biceps; lats; lower back; traps
Bent Over Two-Arm Long Bar Row,strength,compound,pull,intermediate,barbell,middle back,biceps; lats
Bent Over Two-Dumbbell Row,strength,compound,pull,beginner,dumbbell,middle back,biceps; lats; shoulders
Bent Over Two-Dumbbell Row With Palms In,strength,compound,pull,beginner,dumbbell,middle back,biceps; lats
Bent Press,strength,compound,pull,expert,kettlebells,abdominals,glutes; hamstrings; lower back; quadriceps; shoulders; triceps
Bent-Arm Barbell Pullover,strength,compound,pull,intermediate,barbell,lats,chest; lats; shoulders; triceps
Bent-Arm Dumbbell Pullover,strength,compound,push,intermediate,dumbbell,chest,lats; shoulders; triceps
Bent-Knee Hip Raise,strength,compound,pull,beginner,body only,abdominals,
Bicycling,cardio,,,beginner,other,quadriceps,calves; glutes; hamstrings
"Bicycling, Stationary",cardio,,,beginner,machine,quadriceps,calves; glutes; hamstrings
Board Press,powerlifting,compound,push,intermediate,barbell,triceps,chest; forearms; lats; shoulders
Body Tricep Press,strength,isolation,push,beginner,body only,triceps,
Body-Up,strength,isolation,push,intermediate,body only,triceps,abdominals; forearms
Bodyweight Flyes,strength,isolation,push,intermediate,e-z curl bar,chest,abdominals; shoulders; triceps
Bodyweight Mid Row,strength,compound,pull,intermediate,other,middle back,biceps; lats
Bodyweight Squat,strength,compound,push,beginner,body only,quadriceps,glutes; hamstrings
Bodyweight Walking Lunge,strength,compound,push,beginner,,quadriceps,calves; glutes; hamstrings
Bosu Ball Cable Crunch With Side Bends,strength,isolation,pull,beginner,cable,abdominals,
Bottoms Up,strength,compound,pull,beginner,body only,abdominals,
Bottoms-Up Clean From The Hang Position,strength,compound,pull,intermediate,kettlebells,forearms,biceps; shoulders
Box Jump (Multiple Response),plyometrics,compound,push,beginner,other,hamstrings,abductors; adductors; calves; glutes; quadriceps
Box Skip,plyometrics,compound,push,beginner,other,hamstrings,abductors; adductors; calves; glutes; quadriceps
Box Squat,powerlifting,compound,push,intermediate,barbell,quadriceps,adductors; calves; glutes; hamstrings; lower back
Box Squat with Bands,powerlifting,compound,push,expert,barbell,quadriceps,abductors; adductors; calves; glutes; hamstrings; lower back
Box Squat with Chains,strength,compound,push,expert,barbell,quadriceps,abductors; adductors; calves; glutes; hamstrings; lower back
Brachialis-SMR,stretching,,static,intermediate,foam roll,biceps,
Bradford/Rocky Presses,strength,compound,push,beginner,barbell,shoulders,triceps
Butt Lift (Bridge),strength,isolation,push,beginner,body only,glutes,hamstrings
Butt-Ups,strength,compound,pull,beginner,body only,abdominals,
Butterfly,strength,isolation,pull,beginner,machine,chest,
Cable Chest Press,strength,compound,push,beginner,cable,chest,shoulders; triceps
Cable Crossover,strength,isolation,push,beginner,cable,chest,shoulders
Cable Crunch,strength,isolation,pull,beginner,cable,abdominals,
Cable Deadlifts,strength,compound,pull,beginner,cable,quadriceps,forearms; glutes; hamstrings; lower back
Cable Hammer Curls - Rope Attachment,strength,isolation,pull,beginner,cable,biceps,
Cable Hip Adduction,strength,isolation,pull,beginner,cable,quadriceps,
Cable Incline Pushdown,strength,isolation,pull,beginner,cable,lats,
Cable Incline Triceps Extension,strength,isolation,push,beginner,cable,triceps,
Cable Internal Rotation,strength,compound,pull,beginner,cable,shoulders,
Cable Iron Cross,strength,isolation,push,beginner,cable,chest,
Cable Judo Flip,strength,compound,pull,beginner,cable,abdominals,
Cable Lying Triceps Extension,strength,isolation,push,beginner,cable,triceps,
Cable One Arm Tricep Extension,strength,isolation,push,beginner,cable,triceps,
Cable Preacher Curl,strength,isolation,pull,beginner,cable,biceps,forearms
Cable Rear Delt Fly,strength,isolation,pull,beginner,cable,shoulders,
Cable Reverse Crunch,strength,isolation,pull,beginner,cable,abdominals,
Cable Rope Overhead Triceps Extension,strength,isolation,push,beginner,cable,triceps,
Cable Rope Rear-Delt Rows,strength,compound,pull,beginner,cable,shoulders,biceps; middle back
Cable Russian Twists,strength,compound,pull,beginner,cable,abdominals,
Cable Seated Crunch,strength,isolation,pull,beginner,cable,abdominals,
Cable Seated Lateral Raise,strength,isolation,pull,beginner,cable,shoulders,middle back; traps
Cable Shoulder Press,strength,compound,push,beginner,cable,shoulders,triceps
Cable Shrugs,strength,isolation,pull,beginner,cable,traps,
Cable Wrist Curl,strength,isolation,pull,beginner,cable,forearms,
Calf Press,strength,isolation,push,beginner,machine,calves,
Calf Press On The Leg Press Machine,strength,isolation,push,beginner,machine,calves,
Calf Raise On A Dumbbell,strength,isolation,push,intermediate,dumbbell,calves,
Calf Raises - With Bands,strength,isolation,push,beginner,bands,calves,
Calf Stretch Elbows Against Wall,stretching,isolation,static,beginner,,calves,
Calf Stretch Hands Against Wall,stretching,isolation,static,beginner,,calves,
Calf-Machine Shoulder Shrug,strength,isolation,pull,beginner,machine,traps,
Calves-SMR,stretching,,static,intermediate,foam roll,calves,
Car Deadlift,strongman,compound,pull,intermediate,other,quadriceps,forearms; glutes; hamstrings; lower back; traps
Car Drivers,strength,isolation,push,beginner,barbell,shoulders,forearms
Carioca Quick Step,plyometrics,,,beginner,,adductors,abdominals; abductors; calves; glutes; hamstrings; quadriceps
Cat Stretch,stretching,,static,beginner,,lower back,middle back; traps
Catch and Overhead Throw,plyometrics,compound,push,beginner,medicine ball,lats,abdominals; chest; shoulders
Chain Handle Extension,powerlifting,isolation,push,intermediate,other,triceps,
Chain Press,powerlifting,compound,push,intermediate,other,chest,shoulders; triceps
Chair Leg Extended Stretch,stretching,isolation,static,beginner,other,hamstrings,adductors
Chair Lower Back Stretch,stretching,isolation,static,beginner,,lats,lower back
Chair Squat,strength,compound,push,beginner,machine,quadriceps,calves; glutes; hamstrings
Chair Upper Body Stretch,stretching,,static,beginner,other,shoulders,biceps; chest
Chest And Front Of Shoulder Stretch,stretching,isolation,static,beginner,other,chest,shoulders
Chest Push (multiple response),plyometrics,compound,push,beginner,medicine ball,chest,abdominals; shoulders; triceps
Chest Push (single response),plyometrics,compound,push,beginner,medicine ball,chest,abdominals; shoulders; triceps
Chest Push from 3 point stance,plyometrics,compound,push,beginner,medicine ball,chest,abdominals; shoulders; triceps
Chest Push with Run Release,plyometrics,compound,push,beginner,medicine ball,chest,abdominals; shoulders; triceps
Chest Stretch on Stability Ball,stretching,isolation,static,beginner,exercise ball,chest,
Child's Pose,stretching,,static,beginner,,lower back,glutes; middle back
Chin To Chest Stretch,stretching,,static,beginner,,neck,traps
Chin-Up,strength,compound,pull,beginner,body only,lats,biceps; forearms; middle back
Circus Bell,strongman,compound,push,expert,other,shoulders,forearms; glutes; hamstrings; lower back; traps; triceps
Clean,olympic weightlifting,compound,pull,intermediate,barbell,hamstrings,calves; forearms; glutes; lower back; quadriceps; shoulders; traps
Clean and Jerk,olympic weightlifting,compound,push,expert,barbell,shoulders,abdominals; glutes; hamstrings; lower back; quadriceps; traps; triceps
Clean and Press,strength,compound,push,intermediate,barbell,shoulders,abdominals; calves; glutes; hamstrings; lower back; middle back; quadriceps; shoulders; traps; triceps
Clean Deadlift,olympic weightlifting,compound,pull,beginner,barbell,hamstrings,forearms; glutes; lower back; middle back; quadriceps; traps
Clean from Blocks,olympic weightlifting,compound,pull,intermediate,barbell,quadriceps,calves; glutes; hamstrings; shoulders; traps
Clean Pull,olympic weightlifting,compound,pull,intermediate,barbell,quadriceps,forearms; glutes; hamstrings; lower back; traps
Clean Shrug,olympic weightlifting,compound,pull,beginner,barbell,traps,forearms; shoulders
Clock Push-Up,strength,compound,push,intermediate,body only,chest,shoulders; triceps
Close-Grip Barbell Bench Press,strength,compound,push,beginner,barbell,triceps,chest; shoulders
Close-Grip Dumbbell Press,strength,compound,push,beginner,dumbbell,triceps,chest; shoulders
Close-Grip EZ Bar Curl,strength,isolation,pull,beginner,barbell,biceps,forearms
Close-Grip EZ-Bar Curl with Band,strength,isolation,pull,beginner,e-z curl bar,biceps,forearms
Close-Grip EZ-Bar Press,strength,compound,push,beginner,e-z curl bar,triceps,chest; shoulders
Close-Grip Front Lat Pulldown,strength,compound,pull,beginner,cable,lats,biceps; middle back; shoulders
Close-Grip Push-Up off of a Dumbbell,strength,compound,push,intermediate,body only,triceps,abdominals; chest; shoulders
Close-Grip Standing Barbell Curl,strength,isolation,pull,beginner,barbell,biceps,forearms
Cocoons,strength,compound,pull,beginner,body only,abdominals,
Conan's Wheel,strongman,compound,,intermediate,other,quadriceps,abdominals; biceps; calves; forearms; lower back; shoulders; traps
Concentration Curls,strength,isolation,pull,beginner,dumbbell,biceps,forearms
Cross Body Hammer Curl,strength,isolation,pull,beginner,dumbbell,biceps,forearms
Cross Over - With Bands,strength,compound,push,beginner,bands,chest,biceps; shoulders
Cross-Body Crunch,strength,compound,pull,beginner,body only,abdominals,
Crossover Reverse Lunge,stretching,,pull,intermediate,,lower back,abdominals; abductors; glutes; hamstrings; quadriceps
Crucifix,strongman,isolation,static,beginner,other,shoulders,forearms
Crunch - Hands Overhead,strength,isolation,pull,beginner,body only,abdominals,
Crunch - Legs On Exercise Ball,strength,isolation,pull,beginner,body only,abdominals,
Crunches,strength,isolation,pull,beginner,body only,abdominals,
Cuban Press,strength,compound,push,intermediate,dumbbell,shoulders,traps
Dancer's Stretch,stretching,,static,beginner,,lower back,abductors; glutes
Dead Bug,strength,compound,pull,beginner,body only,abdominals,
Deadlift with Bands,powerlifting,compound,pull,expert,barbell,lower back,forearms; glutes; hamstrings; middle back; quadriceps; traps
Deadlift with Chains,powerlifting,compound,pull,expert,barbell,lower back,forearms; glutes; hamstrings; middle back; quadriceps; traps
Decline Barbell Bench Press,strength,compound,push,beginner,barbell,chest,shoulders; triceps
Decline Close-Grip Bench To Skull Crusher,strength,compound,push,intermediate,barbell,triceps,chest; shoulders
Decline Crunch,strength,isolation,pull,intermediate,body only,abdominals,
Decline Dumbbell Bench Press,strength,compound,push,beginner,dumbbell,chest,shoulders; triceps
Decline Dumbbell Flyes,strength,compound,push,beginner,dumbbell,chest,
Decline Dumbbell Triceps Extension,strength,isolation,push,beginner,dumbbell,triceps,
Decline EZ Bar Triceps Extension,strength,isolation,push,beginner,barbell,triceps,
Decline Oblique Crunch,strength,compound,pull,beginner,body only,abdominals,
Decline Push-Up,strength,compound,push,beginner,,chest,shoulders; triceps
Decline Reverse Crunch,strength,compound,pull,beginner,body only,abdominals,
Decline Smith Press,strength,compound,push,beginner,machine,chest,shoulders; triceps
Deficit Deadlift,powerlifting,compound,pull,intermediate,barbell,lower back,forearms; glutes; hamstrings; middle back; quadriceps; traps
Depth Jump Leap,plyometrics,compound,push,beginner,other,quadriceps,abductors; adductors; calves; glutes; hamstrings
Dip Machine,strength,compound,push,beginner,machine,triceps,chest; shoulders
Dips - Chest Version,strength,compound,push,intermediate,other,chest,shoulders; triceps
Dips - Triceps Version,strength,compound,push,beginner,body only,triceps,chest; shoulders
Donkey Calf Raises,strength,isolation,push,intermediate,other,calves,
Double Kettlebell Alternating Hang Clean,strength,compound,pull,intermediate,kettlebells,hamstrings,biceps; calves; forearms; glutes; lower back; quadriceps; traps
Double Kettlebell Jerk,strength,compound,push,intermediate,kettlebells,shoulders,calves; quadriceps; triceps
Double Kettlebell Push Press,strength,compound,push,intermediate,kettlebells,shoulders,calves; quadriceps; triceps
Double Kettlebell Snatch,strength,compound,pull,expert,kettlebells,shoulders,glutes; hamstrings; quadriceps
Double Kettlebell Windmill,strength,,pull,intermediate,kettlebells,abdominals,glutes; hamstrings; shoulders; triceps
Double Leg Butt Kick,plyometrics,compound,push,beginner,body only,quadriceps,abductors; adductors; calves; glutes; hamstrings
Downward Facing Balance,strength,isolation,static,intermediate,exercise ball,glutes,abdominals; hamstrings
Drag Curl,strength,compound,pull,intermediate,barbell,biceps,forearms
Drop Push,plyometrics,compound,push,intermediate,other,chest,shoulders; triceps
Dumbbell Alternate Bicep Curl,strength,isolation,pull,beginner,dumbbell,biceps,forearms
Dumbbell Bench Press,strength,compound,push,beginner,dumbbell,chest,shoulders; triceps
Dumbbell Bench Press with Neutral Grip,strength,compound,push,beginner,dumbbell,chest,shoulders; triceps
Dumbbell Bicep Curl,strength,isolation,pull,beginner,dumbbell,biceps,forearms
Dumbbell Clean,strength,compound,pull,intermediate,dumbbell,hamstrings,calves; forearms; glutes; lower back; quadriceps; shoulders; traps
Dumbbell Floor Press,powerlifting,compound,push,intermediate,dumbbell,triceps,chest; shoulders
Dumbbell Flyes,strength,isolation,push,beginner,dumbbell,chest,
Dumbbell Incline Row,strength,compound,pull,beginner,dumbbell,middle back,biceps; forearms; lats; shoulders
Dumbbell Incline Shoulder Raise,strength,isolation,push,beginner,dumbbell,shoulders,triceps
Dumbbell Lunges,strength,compound,push,beginner,dumbbell,quadriceps,calves; glutes; hamstrings
Dumbbell Lying One-Arm Rear Lateral Raise,strength,isolation,pull,intermediate,dumbbell,shoulders,middle back
Dumbbell Lying Pronation,strength,isolation,pull,intermediate,dumbbell,forearms,
Dumbbell Lying Rear Lateral Raise,strength,isolation,pull,intermediate,dumbbell,shoulders,
Dumbbell Lying Supination,strength,isolation,pull,intermediate,dumbbell,forearms,
Dumbbell One-Arm Shoulder Press,strength,compound,push,intermediate,dumbbell,shoulders,triceps
Dumbbell One-Arm Triceps Extension,strength,isolation,push,intermediate,dumbbell,triceps,
Dumbbell One-Arm Upright Row,strength,compound,pull,intermediate,dumbbell,shoulders,biceps; traps
Dumbbell Prone Incline Curl,strength,isolation,pull,intermediate,dumbbell,biceps,
Dumbbell Raise,strength,compound,pull,beginner,dumbbell,shoulders,biceps
Dumbbell Rear Lunge,strength,compound,push,intermediate,dumbbell,quadriceps,calves; glutes; hamstrings
Dumbbell Scaption,strength,isolation,push,beginner,dumbbell,shoulders,traps
Dumbbell Seated Box Jump,plyometrics,compound,push,intermediate,dumbbell,quadriceps,calves; glutes; hamstrings
Dumbbell Seated One-Leg Calf Raise,strength,isolation,push,beginner,dumbbell,calves,
Dumbbell Shoulder Press,strength,compound,push,intermediate,dumbbell,shoulders,triceps
Dumbbell Shrug,strength,isolation,pull,beginner,dumbbell,traps,
Dumbbell Side Bend,strength,isolation,pull,beginner,dumbbell,abdominals,
Dumbbell Squat,strength,compound,push,beginner,dumbbell,quadriceps,calves; glutes; hamstrings; lower back
Dumbbell Squat To A Bench,strength,compound,push,intermediate,dumbbell,quadriceps,calves; glutes; hamstrings; lower back
Dumbbell Step Ups,strength,compound,push,intermediate,dumbbell,quadriceps,calves; glutes; hamstrings
Dumbbell Tricep Extension -Pronated Grip,strength,isolation,push,beginner,dumbbell,triceps,
Dynamic Back Stretch,stretching,,pull,beginner,,lats,
Dynamic Chest Stretch,stretching,,pull,beginner,,chest,middle back
Elbow Circles,stretching,isolation,pull,beginner,,shoulders,traps
Elbow to Knee,strength,compound,pull,beginner,body only,abdominals,
Elbows Back,stretching,isolation,static,beginner,,chest,shoulders
Elevated Back Lunge,strength,compound,push,intermediate,barbell,quadriceps,glutes; hamstrings
Elevated Cable Rows,strength,compound,pull,intermediate,cable,lats,middle back; traps
Elliptical Trainer,cardio,,,intermediate,machine,quadriceps,calves; glutes; hamstrings
Exercise Ball Crunch,strength,isolation,pull,beginner,exercise ball,abdominals,
Exercise Ball Pull-In,strength,compound,pull,beginner,exercise ball,abdominals,
Extended Range One-Arm Kettlebell Floor Press,strength,compound,push,beginner,kettlebells,chest,shoulders; triceps
External Rotation,strength,isolation,pull,beginner,dumbbell,shoulders,
External Rotation with Band,strength,compound,pull,beginner,bands,shoulders,
External Rotation with Cable,strength,isolation,pull,beginner,cable,shoulders,
EZ-Bar Curl,strength,isolation,pull,beginner,e-z curl bar,biceps,
EZ-Bar Skullcrusher,strength,isolation,push,beginner,e-z curl bar,triceps,forearms
Face Pull,strength,compound,pull,intermediate,cable,shoulders,middle back
Farmer's Walk,strongman,compound,,intermediate,other,forearms,abdominals; glutes; hamstrings; lower back; quadriceps; traps
Fast Skipping,plyometrics,compound,push,beginner,body only,quadriceps,abductors; adductors; calves; glutes; hamstrings
Finger Curls,strength,isolation,pull,beginner,barbell,forearms,
Flat Bench Cable Flyes,strength,isolation,push,intermediate,cable,chest,
Flat Bench Leg Pull-In,strength,compound,pull,beginner,body only,abdominals,
Flat Bench Lying Leg Raise,strength,isolation,pull,beginner,body only,abdominals,
Flexor Incline Dumbbell Curls,strength,isolation,pull,beginner,dumbbell,biceps,
Floor Glute-Ham Raise,strength,isolation,pull,intermediate,,hamstrings,calves; glutes
Floor Press,powerlifting,compound,push,intermediate,barbell,triceps,chest; shoulders
Floor Press with Chains,powerlifting,compound,push,intermediate,barbell,triceps,chest; shoulders
Flutter Kicks,strength,compound,pull,beginner,body only,glutes,hamstrings
Foot-SMR,stretching,,static,intermediate,other,calves,
Forward Drag with Press,strongman,compound,push,intermediate,other,chest,calves; glutes; hamstrings; quadriceps; shoulders; triceps
Frankenstein Squat,olympic weightlifting,compound,push,intermediate,barbell,quadriceps,abdominals; calves; glutes; hamstrings
Freehand Jump Squat,strength,compound,push,intermediate,body only,quadriceps,calves; glutes; hamstrings
Frog Hops,stretching,compound,push,intermediate,,quadriceps,calves; glutes; hamstrings
Frog Sit-Ups,strength,isolation,pull,intermediate,body only,abdominals,
Front Barbell Squat,strength,compound,push,expert,barbell,quadriceps,calves; glutes; hamstrings
Front Barbell Squat To A Bench,strength,compound,push,expert,barbell,quadriceps,calves; glutes; hamstrings
Front Box Jump,plyometrics,compound,push,beginner,other,hamstrings,abductors; adductors; calves; glutes; quadriceps
Front Cable Raise,strength,isolation,push,beginner,cable,shoulders,
Front Cone Hops (or hurdle hops),plyometrics,compound,push,beginner,other,quadriceps,abductors; adductors; calves; glutes; hamstrings
Front Dumbbell Raise,strength,isolation,push,beginner,dumbbell,shoulders,
Front Incline Dumbbell Raise,strength,isolation,push,beginner,dumbbell,shoulders,
Front Leg Raises,stretching,,pull,beginner,body only,hamstrings,
Front Plate Raise,strength,isolation,push,intermediate,other,shoulders,
